DOCW.SI	Hsbc 5xlongsg250203
DPGW.SI	Sgx 5xshortsg241218
DPNW.SI	Capinv 5xlongsg260716
DPPW.SI	Jd 5xlongsg250116
DPRW.SI	Thaibev 5xlongsg250716
DPTW.SI	Yzj 5xshortsg250716
DPZW.SI	Venture 5xshortsg241218
DQKW.SI	Sembcorp 5xshortsg241218
DQUW.SI	Byd 5xlongsg250116
DQVW.SI	Comfort 5xlongsg250716
DQXW.SI	Sats 5xlongsg260716
DQYW.SI	Kepcorp 5xshortsg250716
DQZW.SI	Kuaisho 5xlongsg250904
DRJW.SI	Galaxy 5xlongsg250626
DRKW.SI	Meituan 5xlongsg241126
DROW.SI	Dbs 5xlongsg250716
DRPW.SI	Tencent 5xlongsg250716
DRQW.SI	Sia 5xshortsg250716
DRRW.SI	Geely 5xlongsg251113
DRSW.SI	Xiaomi 5xshortsg241114
DRVW.SI	Singtel 5xlongsg251113
DRX.SI	St Group Food
DRZW.SI	Venture 5xlongsg241218
DSRW.SI	Djia 7xlongub250922
DTIW.SI	Hsbc 5xshortsg241213
DTMW.SI	Cmob 5xlongsg250213
DU4.SI	Mermaid Maritime Public Co Ltd
DUHW.SI	Cmob 5xshortsg250213
DUKW.SI	Kepcorp 5xshortsg241218
DUMW.SI	Kepcorp 5xlongsg250410
DUPW.SI	Sands 5xlongsg250626
DURW.SI	Sunny 5xlongsg241126
DUTW.SI	Xiaomi 5xlongsg241126
DUWW.SI	Tencent 5xlongsg250904
DUYW.SI	Xpeng 5xlongsg250306
DVFW.SI	Genting 5xshortsg241218
DVKW.SI	Petroch 5xlongsg250410
DVNW.SI	Sembcorp 5xshortsg250709
DVSW.SI	Venture 5xlongsg260904
DVWW.SI	Hkex 5xlongsg251113
DVXW.SI	Meituan 5xlongsg251113
DVZW.SI	Singtel 5xshortsg241218
DWFW.SI	Citydev 5xshortsg241218
DWGW.SI	Aia 5xlongsg241213
DWIW.SI	Sembcorp 5xlongsg250410
DWOW.SI	Byd 5xshortsg241209
DWYW.SI	Jd 5xlongsg251113
DXOW.SI	Capinv 5xshortsg241218
DXVW.SI	Sunny 5xshortsg241209
DYEW.SI	Citydev 5xlongsg241218
DYHW.SI	Sembcorp 5xlongsg250709
DYNW.SI	Kuaisho 5xshortsg250306
DYSW.SI	Tencent 5xlongsg251113
DYTW.SI	Lenovo 5xlongsg251113
DZSW.SI	Petroch 5xshortsg250410
DZTW.SI	Sia 5xlongsg250709
DZUW.SI	Geely 5xshortsg241209
DZVW.SI	Sunny 5xlongsg250904
E27.SI	Eucon Holding Limited
E28.SI	Frencken Group Limited
E3B.SI	Wee Hur Holdings Ltd.
E5H.SI	Golden Agri-resources Ltd
E6R.SI	Samko Timber Limited
E9L.SI	Joyas International Hldgs Ltd
EAPS.SI	Nx22100w 320801
EB5.SI	First Resources Limited
EB7.SI	Ktl Global Limited
EBEW.SI	Hscei 7xlongub250430
ECAW.SI	Meituan 5xlongub251031
ECSW.SI	Hsi 7xlongsg251218
EEJ.SI	Alibaba Autocallsg241003
EG0.SI	Jes International Holdings Ltd
EGCW.SI	Tencent 5xshortsg250320
EH5.SI	United Overseas Australia Ltd
EHG.SI	Econ Healthcare
EHNW.SI	Hstech 7xshortsg251216
EHPW.SI	Netease 5xlongsg251216
EHTW.SI	Wuxibio Mbecw250103
EHUW.SI	Jd 5xlongub250228
EHZB.SI	Fptrea 4.49%270916xb#
EJUS.SI	N522100n 270901
EKPW.SI	Byd 5xshortub250626
EMI.SI	Emperador Inc.
EMJW.SI	Alibaba Mb Ecw250603
ENV.SI	Ls 2 Holdings
EPVW.SI	Byd 5xlongub250930
ER0.SI	Ksh Holdings Limited
ERJW.SI	Cmob 5xshortub250626
ES3.SI	Sti Etf
ESG.SI	Lgi-ospl Slc Etf S$
ESU.SI	Lgi-ospl Slc Etf Us$
EVD.SI	Nikkoam-stc Cn Ev Us$
EVMW.SI	Nasdaq 5xlongub250922
EVS.SI	Nikkoam-stc Cn Ev S$
EXXW.SI	Ccb 5xshortsg250320
F03.SI	Food Empire Holdings Limited
F10.SI	F J Benjamin Holdings Ltd
F13.SI	Fu Yu Corporation Ltd
F17.SI	Guocoland Limited
F1E.SI	Low Keng Huat (singapore) Ltd
F34.SI	Wilmar International Limited
F83.SI	Cosco Corporation (s) Ltd
F86.SI	Cougar Logistics Corpn Ltd
F99.SI	Fraser And Neave Limited
F9D.SI	Boustead Singapore Limited
FADW.SI	Hsi 17400mbecw241128
FBXW.SI	Meituan 5xshortub250430
FDWW.SI	Hkex 5xlongub250228
FESW.SI	Djia 36500mbepw241220
FGIW.SI	Hsbc 5xlongub250127
FHRW.SI	Nky 36000mbepw241213
FIHW.SI	Sembind Mbepw250131
FIMW.SI	Kuaisho 5xlongub251031
FLBW.SI	Hstech 7xlongub260130
FMSW.SI	Hsi 19400mbecw240927
